测试,#genre#

📺港台频道,#genre#
凤凰中文,https://play-flive.ifeng.com/live/06OLEGEGM4G.flv
凤凰资讯,https://play-flive.ifeng.com/live/06OLEEWQKN4.flv
凤凰中文,https://play-flive.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰资讯,https://play-flive.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰香港,http://mywlkj.ddns.net:754/tv/hk.php?id=28
凤凰资讯,http://171.108.239.46:8181/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,http://171.108.239.92:8181/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0

翡翠台,http://qwas.eatuo.com:9901/tsfile/live/1013_1.m3u8
无线新闻,http://66.165.240.154:8080/live/TVBwxxwt/hls.m3u8
TVB明珠台,http://xjayrf.eatuo.com:9901/tsfile/live/1005_1.m3u8

🌏央视卫视,#genre#
吉林卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221226831/59814731.smil
天津卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221226652/46098366.smil
湖北卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221225827/10000100000000060000000000470332_2.smil
重庆卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221226638/51813388.smil
四川卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221226693/51813384.smil
贵州卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221226833/59814738.smil
河北卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221226821/59781859.smil
河南卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221226842/59814787.smil
广西卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221226954/71778425.smil
云南卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221226937/72640386.smil
海南卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221226933/70442779.smil
甘肃卫视,rtsp://115.153.245.70/PLTV/88888888/224/3221227039/87447727.smil
湖南卫视,rtsp://115.153.212.72/PLTV/88888888/224/3221225697/iptv8039.smil
江苏卫视,rtsp://115.153.212.72/PLTV/88888888/224/3221225766/10000100000000060000000000913517_0.smil
浙江卫视,rtsp://115.153.212.72/PLTV/88888888/224/3221225768/10000100000000060000000000913518_0.smil
东方卫视,rtsp://115.153.212.72/PLTV/88888888/224/3221225770/10000100000000060000000000913526_0.smil
北京卫视,rtsp://115.153.212.72/PLTV/88888888/224/3221225546/iptv51912.smil
广东卫视,rtsp://115.153.212.72/PLTV/88888888/224/3221225957/10000100000000060000000000913519_0.smil
深圳卫视,rtsp://115.153.212.72/PLTV/88888888/224/3221225764/10000100000000060000000000913503_0.smil
江西卫视,rtsp://115.153.212.72/PLTV/88888888/224/3221226656/46275837.smil
辽宁卫视,rtsp://115.153.212.72/PLTV/88888888/224/3221226649/46098370.smil
山东卫视,rtsp://115.153.212.72/PLTV/88888888/224/3221225919/10000100000000060000000000811554_0.smil
安徽卫视,rtsp://115.153.212.72/PLTV/88888888/224/3221226622/51176344.smil
东南卫视,rtsp://115.153.212.72/PLTV/88888888/224/3221226677/51176347.smil
黑龙江卫视,rtsp://115.153.212.72/PLTV/88888888/224/3221225584/10000100000000060000000000031778_0.smil
吉林卫视,rtsp://115.153.212.72/PLTV/88888888/224/3221226831/59814731.smil
天津卫视,rtsp://115.153.212.72/PLTV/88888888/224/3221226652/46098366.smil
湖北卫视,rtsp://115.153.212.72/PLTV/88888888/224/3221225827/10000100000000060000000000470332_2.smil
重庆卫视,rtsp://115.153.212.72/PLTV/88888888/224/3221226638/51813388.smil
四川卫视,rtsp://115.153.212.72/PLTV/88888888/224/3221226693/51813384.smil
贵州卫视,rtsp://115.153.212.72/PLTV/88888888/224/3221226833/59814738.smil
河北卫视,rtsp://115.153.212.72/PLTV/88888888/224/3221226821/59781859.smil
河南卫视,rtsp://115.153.212.72/PLTV/88888888/224/3221226842/59814787.smil
广西卫视,rtsp://115.153.212.72/PLTV/88888888/224/3221226954/71778425.smil
云南卫视,rtsp://115.153.212.72/PLTV/88888888/224/3221226937/72640386.smil
海南卫视,rtsp://115.153.212.72/PLTV/88888888/224/3221226933/70442779.smil
甘肃卫视,rtsp://115.153.212.72/PLTV/88888888/224/3221227039/87447727.smil
湖南卫视,rtsp://115.153.233.154/PLTV/88888888/224/3221225697/iptv8039.smil
江苏卫视,rtsp://115.153.233.154/PLTV/88888888/224/3221225766/10000100000000060000000000913517_0.smil
浙江卫视,rtsp://115.153.233.154/PLTV/88888888/224/3221225768/10000100000000060000000000913518_0.smil
东方卫视,rtsp://115.153.233.154/PLTV/88888888/224/3221225770/10000100000000060000000000913526_0.smil
北京卫视,rtsp://115.153.233.154/PLTV/88888888/224/3221225546/iptv51912.smil
广东卫视,rtsp://115.153.233.154/PLTV/88888888/224/3221225957/10000100000000060000000000913519_0.smil
深圳卫视,rtsp://115.153.233.154/PLTV/88888888/224/3221225764/10000100000000060000000000913503_0.smil
江西卫视,rtsp://115.153.233.154/PLTV/88888888/224/3221226656/46275837.smil
